HPSA Name,Designation Type,HPSA Score,HPSA Status,HPSA Designation Date,HPSA Designation Last Update Date,HPSA FTE,HPSA Designation Population,% of Population Below 100% Poverty,HPSA Formal Ratio,Rural Status,Common County Name,Common Region Name,Common State Abbreviation,Common State County FIPS Code,Common State Name,County Equivalent Name,HPSA Estimated Served Population,HPSA Estimated Underserved Population,HPSA Provider Ratio Goal,HPSA Shortage,Region Alias
Bethel/Wade Hampton Census Areas,Geographic HPSA,17,Designated,2013-11-14,2021-09-10,0.0,17622.0,28.2,,Rural,"Bethel Census Area, AK",Region 10,AK,02050,Alaska,Bethel,0.0,17622.0,3500:1,5.03,North Far West
Southern Southeast Alaska,Geographic HPSA,13,Designated,2022-03-24,2022-03-24,4.51,25687.0,10.8,5696:1,Rural,"Petersburg Borough, AK",Region 10,AK,02195,Alaska,Petersburg,15785.0,9902.0,3500:1,2.83,North Far West
Southern Southeast Alaska,Geographic HPSA,13,Designated,2022-03-24,2022-03-24,4.51,25687.0,10.8,5696:1,Rural,"Prince of Wales-Hyder Census Area, AK",Region 10,AK,02198,Alaska,Prince of Wales-Hyder,15785.0,9902.0,3500:1,2.83,North Far West
Southern Southeast Alaska,Geographic HPSA,13,Designated,2022-03-24,2022-03-24,4.51,25687.0,10.8,5696:1,Rural,"Ketchikan Gateway Borough, AK",Region 10,AK,02130,Alaska,Ketchikan Gateway,15785.0,9902.0,3500:1,2.83,North Far West
Southern Southeast Alaska,Geographic HPSA,13,Designated,2022-03-24,2022-03-24,4.51,25687.0,10.8,5696:1,Rural,"Wrangell City and Borough, AK",Region 10,AK,02275,Alaska,Wrangell City and Borough,15785.0,9902.0,3500:1,2.83,North Far West
Hardin/Pope Counties,Geographic HPSA,10,Designated,1995-08-15,2021-09-09,2.0,7877.0,14.2,3939:1,Rural,"Pope County, IL",Region 5,IL,17151,Illinois,Pope,7000.0,877.0,3500:1,0.25,Great Lakes
Hardin/Pope Counties,Geographic HPSA,10,Designated,1995-08-15,2021-09-09,2.0,7877.0,14.2,3939:1,Rural,"Hardin County, IL",Region 5,IL,17069,Illinois,Hardin,7000.0,877.0,3500:1,0.25,Great Lakes
Mason County,Geographic HPSA,8,Designated,1978-05-30,2021-09-09,3.2,13358.0,14.3,4174:1,Rural,"Mason County, IL",Region 5,IL,17125,Illinois,Mason,11200.0,2158.0,3500:1,0.62,Great Lakes
Shelby County,Geographic HPSA,13,Designated,1998-09-14,2021-09-09,1.65,21520.0,10.8,13042:1,Rural,"Shelby County, IL",Region 5,IL,17173,Illinois,Shelby,5775.0,15745.0,3500:1,4.5,Great Lakes
Mercer County,Geographic HPSA,7,Designated,2001-09-10,2021-09-08,4.025,15360.0,9.6,3816:1,Rural,"Mercer County, IL",Region 5,IL,17131,Illinois,Mercer,14088.0,1272.0,3500:1,0.365,Great Lakes
Alexander/Pulaski Counties,High Needs Geographic HPSA,19,Designated,1981-03-26,2021-09-09,2.0,11594.0,23.0,5797:1,Partially Rural,"Alexander County, IL",Region 5,IL,17003,Illinois,Alexander,6000.0,5594.0,3000:1,1.86,Great Lakes
Alexander/Pulaski Counties,High Needs Geographic HPSA,19,Designated,1981-03-26,2021-09-09,2.0,11594.0,23.0,5797:1,Rural,"Pulaski County, IL",Region 5,IL,17153,Illinois,Pulaski,6000.0,5594.0,3000:1,1.86,Great Lakes
Washington County,Geographic HPSA,12,Designated,1990-06-15,2021-09-09,1.0,13829.0,7.0,13829:1,Rural,"Washington County, IL",Region 5,IL,17189,Illinois,Washington,3500.0,10329.0,3500:1,2.95,Great Lakes
Platte County,Geographic HPSA,12,Designated,2018-04-13,2021-09-07,1.81,8466.0,13.8,4677:1,Rural,"Platte County, WY",Region 8,WY,56031,Wyoming,Platte,6335.0,2131.0,3500:1,0.61,Rocky Mountains
Big Horn County,Geographic HPSA,10,Designated,2022-01-20,2022-01-20,2.975,11598.0,12.6,3898:1,Rural,"Big Horn County, WY",Region 8,WY,56003,Wyoming,Big Horn,10412.0,1186.0,3500:1,0.335,Rocky Mountains
Sweetwater County,Geographic HPSA,13,Designated,1978-09-11,2021-09-08,9.555,42958.0,11.4,4496:1,Rural,"Sweetwater County, WY",Region 8,WY,56037,Wyoming,Sweetwater,33442.0,9516.0,3500:1,2.715,Rocky Mountains
Weston County,Geographic HPSA,9,Designated,1984-03-14,2021-08-06,1.725,6709.0,14.4,3889:1,Rural,"Weston County, WY",Region 8,WY,56045,Wyoming,Weston,6038.0,671.0,3500:1,0.195,Rocky Mountains
Crook County,Geographic HPSA,14,Designated,1992-03-31,2021-09-08,1.4,7374.0,9.1,5267:1,Rural,"Crook County, WY",Region 8,WY,56011,Wyoming,Crook,4900.0,2474.0,3500:1,0.71,Rocky Mountains
Niobrara County,Geographic HPSA,15,Designated,1978-09-11,2021-08-18,0.0,2139.0,20.1,,Rural,"Niobrara County, WY",Region 8,WY,56027,Wyoming,Niobrara,0.0,2139.0,3500:1,0.61,Rocky Mountains
Carbon County,Geographic HPSA,11,Designated,2021-11-12,2021-11-12,3.73,14449.0,12.4,3874:1,Rural,"Carbon County, WY",Region 8,WY,56007,Wyoming,Carbon,13055.0,1394.0,3500:1,0.4,Rocky Mountains
Benton County,Geographic HPSA,15,Designated,2022-04-05,2022-04-05,0.0,8574.0,13.4,,Rural,"Benton County, IN",Region 5,IN,18007,Indiana,Benton,0.0,8574.0,3500:1,2.45,Great Lakes
Randolph County,Geographic HPSA,10,Designated,2022-03-03,2022-03-03,6.25,24466.0,14.7,3915:1,Rural,"Randolph County, IN",Region 5,IN,18135,Indiana,Randolph,21875.0,2591.0,3500:1,0.74,Great Lakes
Daviess County,Geographic HPSA,8,Designated,2022-02-02,2022-02-02,8.6,32556.0,11.9,3786:1,Rural,"Daviess County, IN",Region 5,IN,18027,Indiana,Daviess,30100.0,2456.0,3500:1,0.7,Great Lakes
Montgomery County,Geographic HPSA,12,Designated,2022-05-12,2022-05-12,7.65,36709.0,11.4,4799:1,Rural,"Montgomery County, IN",Region 5,IN,18107,Indiana,Montgomery,26775.0,9934.0,3500:1,2.84,Great Lakes
Dekalb County,Geographic HPSA,8,Designated,2022-06-06,2022-06-06,11.55,42485.0,11.3,3678:1,Rural,"De Kalb County, IN",Region 5,IN,18033,Indiana,De Kalb,40425.0,2060.0,3500:1,0.59,Great Lakes
Vermillion County,Geographic HPSA,13,Designated,2022-06-28,2022-06-28,2.15,15252.0,14.9,7094:1,Rural,"Vermillion County, IN",Region 5,IN,18165,Indiana,Vermillion,7525.0,7727.0,3500:1,2.21,Great Lakes
Morgan County,Geographic HPSA,10,Designated,2022-07-06,2022-07-06,18.8,68534.0,10.5,3645:1,Non-Rural,"Morgan County, IN",Region 5,IN,18109,Indiana,Morgan,65800.0,2734.0,3500:1,0.78,Great Lakes
Greene County,Geographic HPSA,14,Designated,2022-02-09,2022-02-09,4.6,31730.0,14.2,6898:1,Rural,"Greene County, IN",Region 5,IN,18055,Indiana,Greene,16100.0,15630.0,3500:1,4.47,Great Lakes
Steuben County,Geographic HPSA,11,Designated,2022-01-26,2022-01-26,7.18,32823.0,9.3,4571:1,Rural,"Steuben County, IN",Region 5,IN,18151,Indiana,Steuben,25130.0,7693.0,3500:1,2.2,Great Lakes
Scott County,High Needs Geographic HPSA,4,Designated,2022-07-06,2022-07-06,6.65,23257.0,14.8,3497:1,Rural,"Scott County, IN",Region 5,IN,18143,Indiana,Scott,19950.0,3307.0,3000:1,1.1,Great Lakes
Perry County,Geographic HPSA,10,Designated,2022-05-12,2022-05-12,4.775,17325.0,11.9,3628:1,Rural,"Perry County, IN",Region 5,IN,18123,Indiana,Perry,16712.0,613.0,3500:1,0.175,Great Lakes
Owen County,Geographic HPSA,15,Designated,2022-06-28,2022-06-28,2.6,20489.0,15.3,7880:1,Rural,"Owen County, IN",Region 5,IN,18119,Indiana,Owen,9100.0,11389.0,3500:1,3.25,Great Lakes
Fountain County,Geographic HPSA,11,Designated,2022-04-25,2022-04-25,3.45,16203.0,11.1,4697:1,Rural,"Fountain County, IN",Region 5,IN,18045,Indiana,Fountain,12075.0,4128.0,3500:1,1.18,Great Lakes
Putnam County,Geographic HPSA,4,Designated,2017-12-27,2021-09-10,8.4,31914.0,11.3,3799:1,Rural,"Putnam County, IN",Region 5,IN,18133,Indiana,Putnam,29400.0,2514.0,3500:1,0.72,Great Lakes
Fulton County,Geographic HPSA,10,Proposed For Withdrawal,2018-07-18,2021-09-10,5.4,20178.0,14.0,3737:1,Rural,"Fulton County, IN",Region 5,IN,18049,Indiana,Fulton,18900.0,1278.0,3500:1,0.37,Great Lakes
Switzerland County,Geographic HPSA,15,Proposed For Withdrawal,2017-07-19,2021-09-10,0.0,10366.0,20.2,,Rural,"Switzerland County, IN",Region 5,IN,18155,Indiana,Switzerland,0.0,10366.0,3500:1,2.96,Great Lakes
Jay County,Geographic HPSA,13,Designated,2022-05-03,2022-05-03,4.15,20475.0,14.1,4934:1,Rural,"Jay County, IN",Region 5,IN,18075,Indiana,Jay,14525.0,5950.0,3500:1,1.7,Great Lakes
Clinton County,Geographic HPSA,11,Designated,2022-04-05,2022-04-05,6.5,31415.0,12.4,4833:1,Rural,"Clinton County, IN",Region 5,IN,18023,Indiana,Clinton,22750.0,8665.0,3500:1,2.48,Great Lakes
Parke County,Geographic HPSA,13,Designated,2022-05-12,2022-05-12,2.35,15461.0,14.5,6579:1,Rural,"Parke County, IN",Region 5,IN,18121,Indiana,Parke,8225.0,7236.0,3500:1,2.07,Great Lakes
LaGrange County,Geographic HPSA,11,Designated,2022-03-14,2022-03-14,4.9,38825.0,6.4,7923:1,Rural,"Lagrange County, IN",Region 5,IN,18087,Indiana,Lagrange,17150.0,21675.0,3500:1,6.19,Great Lakes
Noble County,Geographic HPSA,5,Proposed For Withdrawal,2017-06-16,2021-09-10,11.9,46446.0,12.7,3903:1,Rural,"Noble County, IN",Region 5,IN,18113,Indiana,Noble,41650.0,4796.0,3500:1,1.37,Great Lakes
Washington County,Geographic HPSA,9,Designated,2022-03-14,2022-03-14,6.53,27546.0,11.9,4218:1,Rural,"Washington County, IN",Region 5,IN,18175,Indiana,Washington,22855.0,4691.0,3500:1,1.34,Great Lakes
Pike County,Geographic HPSA,13,Designated,2022-02-02,2022-02-02,2.1,12086.0,11.7,5755:1,Rural,"Pike County, IN",Region 5,IN,18125,Indiana,Pike,7350.0,4736.0,3500:1,1.35,Great Lakes
Blackford County,Geographic HPSA,10,Designated,2022-03-14,2022-03-14,3.35,11808.0,12.7,3525:1,Rural,"Blackford County, IN",Region 5,IN,18009,Indiana,Blackford,11725.0,83.0,3500:1,0.02,Great Lakes
Sullivan County,Geographic HPSA,10,Designated,2022-07-06,2022-07-06,5.05,18405.0,12.0,3645:1,Rural,"Sullivan County, IN",Region 5,IN,18153,Indiana,Sullivan,17675.0,730.0,3500:1,0.21,Great Lakes
Harrison County,Geographic HPSA,8,Designated,2022-03-23,2022-03-23,8.15,39343.0,11.0,4827:1,Partially Rural,"Harrison County, IN",Region 5,IN,18061,Indiana,Harrison,28525.0,10818.0,3500:1,3.09,Great Lakes
Posey County,Geographic HPSA,12,Designated,2022-07-06,2022-07-06,5.825,25248.0,8.9,4334:1,Partially Rural,"Posey County, IN",Region 5,IN,18129,Indiana,Posey,20388.0,4860.0,3500:1,1.385,Great Lakes
Carroll County,Geographic HPSA,15,Designated,2022-04-05,2022-04-05,1.0,19859.0,9.6,19859:1,Rural,"Carroll County, IN",Region 5,IN,18015,Indiana,Carroll,3500.0,16359.0,3500:1,4.67,Great Lakes
Rush County,Geographic HPSA,13,Designated,2022-03-03,2022-03-03,3.2,16348.0,14.4,5109:1,Rural,"Rush County, IN",Region 5,IN,18139,Indiana,Rush,11200.0,5148.0,3500:1,1.47,Great Lakes
Clay County,Geographic HPSA,14,Designated,2022-01-26,2022-01-26,3.45,25465.0,12.6,7381:1,Non-Rural,"Clay County, IN",Region 5,IN,18021,Indiana,Clay,12075.0,13390.0,3500:1,3.83,Great Lakes
Decatur County,High Needs Geographic HPSA,7,Designated,2021-11-18,2021-11-18,7.95,26023.0,11.4,3273:1,Rural,"Decatur County, IN",Region 5,IN,18031,Indiana,Decatur,23850.0,2173.0,3000:1,0.72,Great Lakes
Kauai County,Geographic HPSA,16,Designated,2019-09-06,2021-09-10,7.0,70984.0,8.1,10141:1,Rural,"Kauai County, HI",Region 9,HI,15007,Hawaii,Kauai,24500.0,46484.0,3500:1,13.28,South Far West
Maui County,Geographic HPSA,14,Designated,2019-09-06,2021-09-10,23.0,163618.0,9.2,7114:1,Partially Rural,"Maui County, HI",Region 9,HI,15009,Hawaii,Maui,80500.0,83118.0,3500:1,23.75,South Far West
Hawaii County,Geographic HPSA,15,Designated,2019-09-06,2021-09-10,27.585,196381.0,15.6,7119:1,Rural,"Hawaii County, HI",Region 9,HI,15001,Hawaii,Hawaii,96548.0,99833.0,3500:1,28.525,South Far West
Costilla County,Geographic HPSA,22,Designated,1978-04-06,2021-09-10,0.175,3745.0,27.3,21400:1,Rural,"Costilla County, CO",Region 8,CO,08023,Colorado,Costilla,612.0,3133.0,3500:1,0.895,Rocky Mountains
Baca County,Geographic HPSA,16,Designated,2022-07-18,2022-07-18,0.0,3437.0,19.0,,Rural,"Baca County, CO",Region 8,CO,08009,Colorado,Baca,0.0,3437.0,3500:1,0.98,Rocky Mountains
San Juan County,Geographic HPSA,7,Designated,2012-06-14,2021-09-10,0.0,589.0,5.2,,Rural,"San Juan County, CO",Region 8,CO,08111,Colorado,San Juan,0.0,589.0,3500:1,0.17,Rocky Mountains
Scott County,Geographic HPSA,11,Designated,2022-04-21,2022-04-21,2.55,10283.0,19.1,4033:1,Rural,"Scott County, AR",Region 6,AR,05127,Arkansas,Scott,8925.0,1358.0,3500:1,0.39,South Central
Little River County,Geographic HPSA,13,Designated,2023-05-24,2023-05-24,2.75,12086.0,14.2,4395:1,Rural,"Little River County, AR",Region 6,AR,05081,Arkansas,Little River,9625.0,2461.0,3500:1,0.7,South Central
Lafayette County,High Needs Geographic HPSA,9,Designated,1978-07-19,2021-09-10,1.9,6644.0,25.9,3497:1,Rural,"Lafayette County, AR",Region 6,AR,05073,Arkansas,Lafayette,5700.0,944.0,3000:1,0.31,South Central
Montgomery County,Geographic HPSA,13,Designated,2022-04-21,2022-04-21,1.4,8801.0,21.3,6286:1,Rural,"Montgomery County, AR",Region 6,AR,05097,Arkansas,Montgomery,4900.0,3901.0,3500:1,1.11,South Central
Mississippi County,High Needs Geographic HPSA,10,Designated,2019-09-06,2021-09-10,12.675,41186.0,24.3,3249:1,Rural,"Mississippi County, AR",Region 6,AR,05093,Arkansas,Mississippi,38025.0,3161.0,3000:1,1.055,South Central
Drew County,High Needs Geographic HPSA,11,Designated,2023-03-02,2023-03-02,5.7,17193.0,20.3,3016:1,Rural,"Drew County, AR",Region 6,AR,05043,Arkansas,Drew,17100.0,93.0,3000:1,0.03,South Central
Desha County,High Needs Geographic HPSA,15,Proposed For Withdrawal,2017-06-05,2021-09-10,3.75,12472.0,31.1,3326:1,Rural,"Desha County, AR",Region 6,AR,05041,Arkansas,Desha,11250.0,1222.0,3000:1,0.41,South Central
Logan County,Geographic HPSA,7,Designated,2022-09-01,2022-09-01,7.1,24979.0,9.3,3518:1,Rural,"Logan County, IL",Region 5,IL,17107,Illinois,Logan,24850.0,129.0,3500:1,0.04,Great Lakes
Henry/Stark Counties,Geographic HPSA,12,Proposed For Withdrawal,2005-03-10,2021-09-10,9.75,54846.0,10.7,5625:1,Rural,"Stark County, IL",Region 5,IL,17175,Illinois,Stark,34125.0,20721.0,3500:1,5.92,Great Lakes
Henry/Stark Counties,Geographic HPSA,12,Proposed For Withdrawal,2005-03-10,2021-09-10,9.75,54846.0,10.7,5625:1,Partially Rural,"Henry County, IL",Region 5,IL,17073,Illinois,Henry,34125.0,20721.0,3500:1,5.92,Great Lakes
Bureau/Putnam Counties,Geographic HPSA,9,Designated,2021-06-16,2021-06-16,9.0,38298.0,11.8,4255:1,Rural,"Putnam County, IL",Region 5,IL,17155,Illinois,Putnam,31500.0,6798.0,3500:1,1.94,Great Lakes
Bureau/Putnam Counties,Geographic HPSA,9,Designated,2021-06-16,2021-06-16,9.0,38298.0,11.8,4255:1,Rural,"Bureau County, IL",Region 5,IL,17011,Illinois,Bureau,31500.0,6798.0,3500:1,1.94,Great Lakes
Edwards/Wabash Counties,Geographic HPSA,11,Designated,2021-07-02,2021-07-02,2.8,17792.0,11.3,6354:1,Rural,"Edwards County, IL",Region 5,IL,17047,Illinois,Edwards,9800.0,7992.0,3500:1,2.28,Great Lakes
Edwards/Wabash Counties,Geographic HPSA,11,Designated,2021-07-02,2021-07-02,2.8,17792.0,11.3,6354:1,Rural,"Wabash County, IL",Region 5,IL,17185,Illinois,Wabash,9800.0,7992.0,3500:1,2.28,Great Lakes
Suwannee County,Geographic HPSA,14,Designated,1978-09-28,2021-07-02,6.775,42122.0,14.9,6217:1,Rural,"Suwannee County, FL",Region 4,FL,12121,Florida,Suwannee,23712.0,18410.0,3500:1,5.255,Southeast
Early County,High Needs Geographic HPSA,12,Designated,2001-03-30,2021-08-25,3.1,10107.0,30.5,3260:1,Rural,"Early County, GA",Region 4,GA,13099,Georgia,Early,9300.0,807.0,3000:1,0.27,Southeast
Jefferson County,High Needs Geographic HPSA,12,Designated,2014-07-02,2021-08-06,4.85,15069.0,24.6,3107:1,Rural,"Jefferson County, GA",Region 4,GA,13163,Georgia,Jefferson,14550.0,519.0,3000:1,0.17,Southeast
Liberty County,Geographic HPSA,9,Designated,1984-10-18,2021-09-08,16.175,59134.0,15.9,3656:1,Non-Rural,"Liberty County, GA",Region 4,GA,13179,Georgia,Liberty,56612.0,2522.0,3500:1,0.725,Southeast
Wilcox County,High Needs Geographic HPSA,20,Designated,1996-04-12,2021-07-28,0.9,6720.0,24.2,7467:1,Rural,"Wilcox County, GA",Region 4,GA,13315,Georgia,Wilcox,2700.0,4020.0,3000:1,1.34,Southeast
Paulding County,Geographic HPSA,12,Proposed For Withdrawal,2017-09-13,2021-09-10,11.78,144659.0,12.7,12280:1,Non-Rural,"Paulding County, GA",Region 4,GA,13223,Georgia,Paulding,41230.0,103429.0,3500:1,29.55,Southeast
Taylor County,High Needs Geographic HPSA,16,Designated,2013-03-11,2021-09-10,0.0,8003.0,25.8,,Rural,"Taylor County, GA",Region 4,GA,13269,Georgia,Taylor,0.0,8003.0,3000:1,2.67,Southeast
Lee County,Geographic HPSA,6,Designated,1978-05-30,2021-08-02,7.875,28453.0,12.7,3613:1,Non-Rural,"Lee County, GA",Region 4,GA,13177,Georgia,Lee,27562.0,891.0,3500:1,0.255,Southeast
Wheeler County,High Needs Geographic HPSA,16,Designated,1999-10-29,2021-09-10,0.0,7688.0,25.7,,Rural,"Wheeler County, GA",Region 4,GA,13309,Georgia,Wheeler,0.0,7688.0,3000:1,2.56,Southeast
Washington County,High Needs Geographic HPSA,13,Designated,2018-10-25,2021-09-10,2.6,21909.0,24.1,8427:1,Rural,"Washington County, FL",Region 4,FL,12133,Florida,Washington,7800.0,14109.0,3000:1,4.7,Southeast
McIntosh County,Geographic HPSA,15,Proposed For Withdrawal,2012-05-25,2021-08-06,0.8,14038.0,18.0,17548:1,Rural,"McIntosh County, GA",Region 4,GA,13191,Georgia,McIntosh,2800.0,11238.0,3500:1,3.21,Southeast
Charlton County,Geographic HPSA,12,Proposed For Withdrawal,2017-11-29,2021-08-06,2.775,11607.0,17.9,4183:1,Rural,"Charlton County, GA",Region 4,GA,13049,Georgia,Charlton,9712.0,1895.0,3500:1,0.545,Southeast
Dooly County,High Needs Geographic HPSA,22,Designated,2011-09-06,2021-08-06,0.1,12374.0,24.1,123740:1,Rural,"Dooly County, GA",Region 4,GA,13093,Georgia,Dooly,300.0,12074.0,3000:1,4.02,Southeast
Marion County,Geographic HPSA,13,Designated,2017-12-01,2021-09-10,0.925,8312.0,16.6,8986:1,Rural,"Marion County, GA",Region 4,GA,13197,Georgia,Marion,3238.0,5074.0,3500:1,1.445,Southeast
Emanuel County,High Needs Geographic HPSA,9,Designated,2012-04-19,2021-09-10,6.675,21637.0,22.1,3242:1,Rural,"Emanuel County, GA",Region 4,GA,13107,Georgia,Emanuel,20025.0,1612.0,3000:1,0.535,Southeast
Brantley County,High Needs Geographic HPSA,13,Designated,1978-09-18,2021-09-10,2.5,18606.0,19.6,7442:1,Rural,"Brantley County, GA",Region 4,GA,13025,Georgia,Brantley,7500.0,11106.0,3000:1,3.7,Southeast
Quitman County,High Needs Geographic HPSA,17,Designated,2013-01-18,2021-09-10,0.0,2289.0,20.3,,Rural,"Quitman County, GA",Region 4,GA,13239,Georgia,Quitman,0.0,2289.0,3000:1,0.76,Southeast
Meriwether County,High Needs Geographic HPSA,14,Designated,1999-10-29,2021-09-10,2.825,20980.0,22.9,7427:1,Rural,"Meriwether County, GA",Region 4,GA,13199,Georgia,Meriwether,8475.0,12505.0,3000:1,4.165,Southeast
Lincoln County,Geographic HPSA,14,Proposed For Withdrawal,2001-03-30,2021-07-28,1.675,7719.0,24.3,4608:1,Rural,"Lincoln County, GA",Region 4,GA,13181,Georgia,Lincoln,5862.0,1857.0,3500:1,0.535,Southeast
Montgomery County,High Needs Geographic HPSA,17,Proposed For Withdrawal,2012-06-07,2021-08-17,1.0,8230.0,20.6,8230:1,Rural,"Montgomery County, GA",Region 4,GA,13209,Georgia,Montgomery,3000.0,5230.0,3000:1,1.74,Southeast
Mitchell County,High Needs Geographic HPSA,14,Designated,1994-05-12,2021-09-10,3.5,19864.0,23.1,5675:1,Rural,"Mitchell County, GA",Region 4,GA,13205,Georgia,Mitchell,10500.0,9364.0,3000:1,3.12,Southeast
Stewart/Webster,High Needs Geographic HPSA,17,Designated,2006-09-28,2021-08-18,1.675,6712.0,29.8,4007:1,Rural,"Webster County, GA",Region 4,GA,13307,Georgia,Webster,5025.0,1687.0,3000:1,0.565,Southeast
Stewart/Webster,High Needs Geographic HPSA,17,Designated,2006-09-28,2021-08-18,1.675,6712.0,29.8,4007:1,Rural,"Stewart County, GA",Region 4,GA,13259,Georgia,Stewart,5025.0,1687.0,3000:1,0.565,Southeast
Long County,Geographic HPSA,16,Designated,2013-02-14,2021-09-10,1.0,18431.0,18.8,18431:1,Partially Rural,"Long County, GA",Region 4,GA,13183,Georgia,Long,3500.0,14931.0,3500:1,4.27,Southeast
Clay County,High Needs Geographic HPSA,15,Designated,2011-08-16,2021-08-06,0.8,2898.0,39.4,3623:1,Rural,"Clay County, GA",Region 4,GA,13061,Georgia,Clay,2400.0,498.0,3000:1,0.17,Southeast
Bleckley County,High Needs Geographic HPSA,10,Proposed For Withdrawal,2016-03-22,2021-08-06,3.575,11282.0,20.8,3156:1,Rural,"Bleckley County, GA",Region 4,GA,13023,Georgia,Bleckley,10725.0,557.0,3000:1,0.185,Southeast
Echols County,High Needs Geographic HPSA,14,Designated,1998-11-24,2021-09-10,0.0,3981.0,24.1,,Rural,"Echols County, GA",Region 4,GA,13101,Georgia,Echols,0.0,3981.0,3000:1,1.33,Southeast
Glascock/Warren Counties,High Needs Geographic HPSA,17,Designated,2010-04-20,2021-08-06,1.0,8139.0,23.9,8139:1,Rural,"Warren County, GA",Region 4,GA,13301,Georgia,Warren,3000.0,5139.0,3000:1,1.71,Southeast
Glascock/Warren Counties,High Needs Geographic HPSA,17,Designated,2010-04-20,2021-08-06,1.0,8139.0,23.9,8139:1,Rural,"Glascock County, GA",Region 4,GA,13125,Georgia,Glascock,3000.0,5139.0,3000:1,1.71,Southeast
Macon County,High Needs Geographic HPSA,20,Designated,1978-11-09,2021-07-28,2.25,11253.0,25.4,5001:1,Rural,"Macon County, GA",Region 4,GA,13193,Georgia,Macon,6750.0,4503.0,3000:1,1.5,Southeast
Jenkins County,High Needs Geographic HPSA,18,Designated,2012-02-16,2021-08-02,2.0,8717.0,30.4,4359:1,Rural,"Jenkins County, GA",Region 4,GA,13165,Georgia,Jenkins,6000.0,2717.0,3000:1,0.91,Southeast
Taliaferro County,High Needs Geographic HPSA,10,Designated,2000-11-27,2021-09-10,0.0,1611.0,21.1,,Rural,"Taliaferro County, GA",Region 4,GA,13265,Georgia,Taliaferro,0.0,1611.0,3000:1,0.54,Southeast
Wakulla County,Geographic HPSA,16,Designated,1983-03-09,2022-03-03,2.875,28878.0,12.2,10045:1,Rural,"Wakulla County, FL",Region 4,FL,12129,Florida,Wakulla,10062.0,18816.0,3500:1,5.375,Southeast
Skagway Municipality,Geographic HPSA,9,Designated,2013-05-10,2021-09-10,0.0,1098.0,6.3,,Rural,"Skagway Municipality, AK",Region 10,AK,02230,Alaska,Skagway,0.0,1098.0,3500:1,0.31,North Far West
Hickman County,Geographic HPSA,13,Designated,2022-03-17,2022-03-17,2.5,23000.0,18.7,9200:1,Rural,"Hickman County, TN",Region 4,TN,47081,Tennessee,Hickman,8750.0,14250.0,3500:1,4.07,Southeast
Hardeman County,Geographic HPSA,13,Designated,2021-12-07,2021-12-07,4.7,21443.0,17.8,4562:1,Rural,"Hardeman County, TN",Region 4,TN,47069,Tennessee,Hardeman,16450.0,4993.0,3500:1,1.43,Southeast
Van Buren County,Geographic HPSA,14,Designated,2022-08-22,2022-08-22,0.1,5631.0,16.8,56310:1,Rural,"Van Buren County, TN",Region 4,TN,47175,Tennessee,Van Buren,350.0,5281.0,3500:1,1.51,Southeast
Wayne County,Geographic HPSA,11,Designated,2018-12-31,2022-03-23,3.0,14627.0,18.0,4876:1,Rural,"Wayne County, TN",Region 4,TN,47181,Tennessee,Wayne,10500.0,4127.0,3500:1,1.18,Southeast
Wayne County,Geographic HPSA,11,Proposed For Withdrawal,2021-03-23,2021-09-10,4.1,14581.0,19.5,3556:1,Rural,"Wayne County, TN",Region 4,TN,47181,Tennessee,Wayne,14350.0,231.0,3500:1,0.07,Southeast
Morgan County,Geographic HPSA,18,Proposed For Withdrawal,1978-07-11,2021-09-10,2.625,18703.0,22.0,7125:1,Non-Rural,"Morgan County, TN",Region 4,TN,47129,Tennessee,Morgan,9188.0,9515.0,3500:1,3.605,Southeast
Robertson County,Geographic HPSA,6,Designated,2022-08-22,2022-08-22,19.2,69256.0,11.5,3607:1,Partially Rural,"Robertson County, TN",Region 4,TN,47147,Tennessee,Robertson,67200.0,2056.0,3500:1,0.59,Southeast
Grundy County,High Needs Geographic HPSA,13,Designated,2019-04-23,2021-09-10,3.0,13124.0,22.6,4375:1,Rural,"Grundy County, TN",Region 4,TN,47061,Tennessee,Grundy,9000.0,4124.0,3000:1,1.37,Southeast
Hancock County,High Needs Geographic HPSA,15,Designated,2022-03-18,2022-03-18,1.5,6349.0,28.5,4233:1,Rural,"Hancock County, TN",Region 4,TN,47067,Tennessee,Hancock,4500.0,1849.0,3000:1,0.62,Southeast
Wheeler County,Geographic HPSA,9,Proposed For Withdrawal,1978-04-07,2022-11-22,0.0,1393.0,14.0,,Rural,"Wheeler County, OR",Region 10,OR,41069,Oregon,Wheeler,0.0,1393.0,3500:1,0.4,North Far West
Gilliam/Wheeler Counties,Geographic HPSA,15,Designated,2022-11-22,2022-11-22,0.0,3261.0,11.9,,Rural,"Gilliam County, OR",Region 10,OR,41021,Oregon,Gilliam,0.0,3261.0,3500:1,0.93,North Far West
Gilliam/Wheeler Counties,Geographic HPSA,15,Designated,2022-11-22,2022-11-22,0.0,3261.0,11.9,,Rural,"Wheeler County, OR",Region 10,OR,41069,Oregon,Wheeler,0.0,3261.0,3500:1,0.93,North Far West
Oliver County,Geographic HPSA,9,Designated,1978-05-31,2021-09-10,0.0,1842.0,7.9,,Rural,"Oliver County, ND",Region 8,ND,38065,North Dakota,Oliver,0.0,1842.0,3500:1,0.53,Rocky Mountains
